sample_id,region,state_country,season,temp_max_forecast_7d,temp_night_min_7d,rh_avg_forecast_7d,vpd_kpa,soil_moisture_vol_pct,consecutive_hot_days,crop_gdd_accumulated,rainfall_3d_sum_mm,soil_clay_pct,soil_ec_ds_m,soil_ph,stress_class,stress_label
AASRA-TRN-000001,Latur,"Maharashtra, India",Kharif/Wet,34.95,26.96,62.0,2.13,20.46,0,2137.4,12.99,45.8,1.41,7.49,0,Optimal
AASRA-TRN-000002,Latur,"Maharashtra, India",Kharif/Wet,31.78,25.87,78.99,0.99,24.77,0,1298.8,7.98,42.0,1.75,7.6,0,Optimal
AASRA-TRN-000003,Latur,"Maharashtra, India",Rabi/Winter,21.71,9.44,79.02,0.55,33.82,0,334.7,5.9,47.9,1.4,7.09,0,Optimal
AASRA-TRN-000004,Latur,"Maharashtra, India",Rabi/Winter,17.11,7.87,57.94,0.82,14.59,0,42.3,7.2,43.6,1.53,8.18,2,Drought Stress
AASRA-TRN-000005,Latur,"Maharashtra, India",Zaid/Summer,41.69,32.0,31.71,5.51,25.01,2,1906.0,1.27,49.1,4.05,7.97,6,Salinity Stress
AASRA-TRN-000006,Latur,"Maharashtra, India",Kharif/Wet,32.89,27.51,88.89,0.56,52.8,0,1090.8,95.35,50.0,2.11,8.11,4,Flooding / Waterlogging
AASRA-TRN-000007,Latur,"Maharashtra, India",Kharif/Wet,35.48,26.23,61.82,2.2,28.07,6,2335.8,13.13,48.8,1.26,8.22,0,Optimal
AASRA-TRN-000008,Latur,"Maharashtra, India",Rabi/Winter,12.58,-0.35,69.69,0.44,12.23,0,40.0,4.42,38.8,0.83,8.09,5,Frost / Cold Stress
AASRA-TRN-000009,Latur,"Maharashtra, India",Kharif/Wet,26.12,16.4,85.79,0.48,36.85,0,1328.6,20.1,48.7,2.92,7.29,0,Optimal
AASRA-TRN-000010,Latur,"Maharashtra, India",Zaid/Summer,40.08,30.3,23.25,5.69,10.28,1,2500.0,3.56,43.3,0.98,7.44,3,Compound Stress (Heat+Drought)
