soil_moisture_pct,delta_t_celsius,wind_speed_kmh,rain_prob_next_48h,crop_stage_sensitivity,target_readiness
51.27,6.2,10.52,27.82,0.2,1
40.06,4.39,4.18,45.35,1.0,0
57.56,4.15,10.73,15.19,0.2,1
48.98,4.15,1.0,16.36,0.2,1
43.44,10.34,1.78,50.92,1.0,0
48.04,7.11,5.06,23.03,0.2,1
58.33,3.6,7.27,47.08,0.85,0
59.75,6.35,3.94,26.78,0.2,1
51.56,5.43,14.03,59.95,0.2,0
46.66,1.25,3.37,44.79,0.5,0
52.92,2.53,1.98,1.63,0.2,1
61.81,5.64,1.0,44.06,0.85,0
42.97,9.83,9.92,43.39,0.5,0
60.07,4.17,10.09,36.17,0.2,1
35.91,3.44,4.57,52.68,0.5,0
60.14,5.05,5.7,41.0,0.5,1
41.13,3.32,13.84,40.11,0.85,1
28.91,4.01,17.21,41.46,0.2,0
39.91,4.71,6.58,40.15,0.85,1
32.36,2.45,8.08,52.6,0.2,0
38.8,7.3,2.53,45.49,0.2,0
42.87,2.18,15.56,24.13,0.2,1
36.33,2.01,11.42,22.8,0.85,0
60.21,5.3,2.75,8.84,1.0,1
38.69,7.01,10.32,16.28,0.2,1
58.58,5.22,3.19,4.53,0.85,1
56.76,4.45,13.05,7.39,0.3,1
25.43,3.99,3.71,18.67,0.2,0
43.1,3.62,8.5,2.14,0.2,1
47.13,8.17,12.36,34.95,0.2,1
60.55,5.67,4.51,4.36,0.85,1
52.92,3.79,3.13,44.71,0.2,0
54.1,3.16,13.33,47.14,0.5,0
45.26,6.58,12.91,13.33,0.85,1
17.87,8.07,6.72,43.64,0.5,0
60.62,7.69,4.97,32.26,0.2,0
49.25,2.84,18.44,1.04,0.3,0
46.07,3.97,11.22,16.58,0.85,1
62.15,3.58,9.47,7.28,0.3,1
56.34,4.27,5.82,19.78,0.5,1
55.71,7.27,7.1,1.56,0.85,1
37.68,9.37,6.73,20.51,0.85,0
33.96,5.78,20.47,48.76,0.3,0
42.65,3.23,3.81,29.68,0.2,1
65.62,4.66,8.05,4.25,0.5,1
48.02,10.27,1.95,13.33,0.2,0
45.67,4.99,9.26,55.73,0.3,0
24.44,4.0,15.49,51.83,0.2,0
28.25,4.19,21.86,38.23,0.2,0
51.69,5.77,6.34,21.06,0.5,1
61.27,2.9,4.66,55.85,0.2,0
48.05,3.53,10.8,20.97,0.2,1
50.23,7.64,6.32,14.54,1.0,1
52.0,5.68,3.14,11.75,1.0,1
57.11,5.01,4.87,29.96,0.85,1
46.46,7.83,1.31,49.36,1.0,0
18.53,3.11,16.88,37.69,0.85,0
63.06,3.93,7.24,24.7,0.3,1
53.4,5.59,13.83,4.95,0.2,1
49.17,5.48,11.39,8.86,1.0,1
54.97,1.89,4.68,10.51,0.85,1
56.78,3.71,7.51,17.05,1.0,1
57.81,4.33,8.2,10.3,0.85,1
58.35,5.91,11.32,2.79,1.0,1
38.48,5.47,18.77,6.69,1.0,0
40.99,4.55,4.64,61.85,0.5,0
47.57,1.25,7.62,44.16,0.2,0
39.9,4.68,4.82,13.48,0.85,1
61.9,4.91,14.96,4.1,0.2,1
30.76,12.5,12.9,41.54,0.3,0
37.96,4.25,14.99,5.13,0.5,1
42.92,5.6,13.7,11.5,0.2,1
20.5,8.5,1.49,5.95,0.5,0
24.69,7.05,5.73,4.91,0.2,0
39.15,9.56,6.94,73.02,0.5,0
50.35,1.9,14.38,60.16,0.2,0
62.86,2.57,15.76,2.79,1.0,1
39.14,3.39,8.55,44.96,0.5,0
33.58,1.7,24.69,25.36,0.3,0
25.78,4.94,9.41,15.99,0.85,0
30.86,2.69,9.11,62.8,0.3,0
58.55,10.2,9.51,9.95,0.2,0
58.56,2.95,12.94,52.22,0.3,0
52.13,3.94,7.25,15.52,1.0,1
27.41,7.27,17.76,24.18,0.2,0
46.4,2.16,9.7,1.4,0.2,1
47.06,1.62,7.99,2.55,1.0,0
31.86,5.26,5.45,18.42,0.2,1
29.44,5.48,7.12,8.24,0.3,1
58.77,7.16,11.47,4.45,0.2,1
48.91,6.28,22.55,3.04,0.5,0
39.36,5.59,10.2,34.36,0.2,1
44.87,3.16,9.51,43.2,1.0,0
46.66,5.4,6.24,33.82,0.3,1
21.15,5.58,18.44,18.92,0.85,0
54.09,3.09,10.71,43.51,0.3,0
55.9,11.67,15.66,28.58,0.5,0
31.8,6.13,2.48,21.11,0.2,1
34.91,2.59,13.53,38.79,0.5,0
40.72,7.18,5.68,5.44,0.85,1
34.87,7.81,20.77,29.26,0.3,0
25.54,5.94,3.93,32.83,1.0,0
25.78,4.12,3.29,4.73,0.2,0
47.04,3.01,6.81,36.63,0.85,1
40.16,4.55,6.22,31.2,0.85,0
37.97,5.72,24.66,26.49,0.85,0
36.98,4.78,10.88,22.53,0.85,1
38.31,9.78,13.84,54.43,1.0,0
39.55,6.62,3.87,11.22,0.85,1
34.3,2.81,28.05,8.61,0.5,0
58.31,2.43,16.18,8.28,0.5,0
60.9,6.16,20.14,19.44,0.2,0
59.97,4.18,5.04,68.32,1.0,0
32.48,6.92,6.53,25.67,0.85,1
34.37,6.13,16.38,28.28,1.0,0
43.07,4.56,7.2,2.21,1.0,1
36.76,2.83,1.01,50.43,1.0,0
39.81,1.75,19.46,14.94,1.0,0
50.45,5.34,4.59,65.52,0.85,0
38.59,2.14,1.04,49.57,0.5,0
52.63,2.76,6.24,16.97,0.2,1
43.45,5.17,11.91,0.91,0.5,1
66.14,4.91,11.03,17.35,0.5,1
45.41,2.31,4.77,50.97,1.0,0
41.98,8.27,8.5,21.11,0.2,0
45.28,8.15,11.83,10.88,0.85,1
24.41,6.26,10.05,19.07,0.5,0
26.27,6.26,12.72,6.22,1.0,0
40.33,6.26,8.11,8.71,0.85,1
33.75,12.5,7.45,69.53,0.85,0
45.67,7.78,2.29,6.0,0.2,1
27.91,6.71,17.19,40.31,0.5,0
42.38,2.97,16.69,35.79,0.3,0
16.95,4.15,8.01,1.43,1.0,0
31.93,12.5,15.03,41.54,0.85,0
51.75,1.31,10.88,10.79,0.2,0
30.37,3.6,5.54,23.74,0.5,1
50.25,8.29,4.44,46.99,0.2,0
32.24,3.09,2.15,34.9,0.5,1
51.35,6.8,11.48,11.36,1.0,1
49.72,4.87,5.96,6.8,1.0,1
47.39,3.21,17.38,7.88,0.2,0
43.47,1.14,15.82,16.15,0.5,0
26.87,5.27,12.57,19.18,0.5,0
31.28,2.93,10.73,52.96,1.0,0
25.7,4.45,18.76,6.68,1.0,0
60.68,6.23,15.54,48.62,0.5,0
36.71,7.46,5.67,7.1,0.3,1
21.76,3.59,5.61,19.17,0.5,0
25.32,3.21,1.32,27.37,0.5,0
52.45,2.12,8.84,11.02,1.0,0
29.0,7.65,8.34,42.43,1.0,0
63.36,12.5,5.5,34.02,0.2,0
46.57,8.07,21.68,12.62,0.85,0
21.66,9.0,9.59,9.61,0.2,0
45.04,3.1,4.04,52.05,0.5,0
52.45,6.04,15.52,8.98,0.2,1
42.81,7.13,8.18,11.26,0.5,1
40.6,0.8,13.3,5.23,1.0,0
31.59,2.51,7.05,14.67,0.5,1
41.02,10.58,2.63,46.91,0.5,0
51.38,1.86,26.13,64.54,1.0,0
42.26,9.73,15.15,15.56,0.2,0
27.62,1.86,5.1,4.84,0.85,0
55.85,2.58,15.27,22.07,0.2,1
25.61,6.09,14.57,41.37,0.3,0
44.67,4.94,14.39,30.98,0.85,1
41.18,3.79,5.48,30.88,0.85,1
52.22,10.37,4.13,2.2,1.0,0
39.53,2.15,9.17,23.61,0.2,1
43.1,4.36,12.3,50.78,0.5,0
34.61,6.5,8.66,6.66,1.0,1
46.99,5.54,7.88,60.63,0.85,0
44.17,3.27,8.45,10.53,0.5,1
34.64,3.34,20.62,1.12,0.85,0
47.11,7.4,18.63,12.25,1.0,0
52.72,7.58,19.49,78.69,0.5,0
