station,timestamp,temperature_celsius,relative_humidity_pct,delta_t_celsius,wind_speed_kmh,soil_moisture_pct,rain_prob_pct,crop_stage_sensitivity,readiness_score,spray_window_safe,ground_truth_safe,is_correct,rationale
Latur (Soybean Belt),2026-09-05T00:00,24.2,76.0,3.18,12.0,30.33,6.0,1.0,0.903,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Latur (Soybean Belt),2026-09-05T01:00,23.6,78.0,2.88,11.6,30.33,2.0,1.0,0.902,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Latur (Soybean Belt),2026-09-05T02:00,23.1,81.0,2.46,10.5,30.33,0.0,1.0,0.905,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Latur (Soybean Belt),2026-09-05T03:00,22.6,84.0,2.05,10.1,30.33,0.0,1.0,0.906,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Latur (Soybean Belt),2026-09-05T04:00,22.3,86.0,1.78,10.1,30.33,0.0,1.0,0.001,False,False,True,"Delta-T 1.8°C < 2.0°C (excess humidity, spray runoff)"
Latur (Soybean Belt),2026-09-05T05:00,22.0,88.0,1.52,10.6,30.33,0.0,1.0,0.001,False,False,True,"Delta-T 1.5°C < 2.0°C (excess humidity, spray runoff)"
Latur (Soybean Belt),2026-09-05T06:00,21.8,90.0,1.26,10.1,30.33,0.0,1.0,0.001,False,False,True,"Delta-T 1.3°C < 2.0°C (excess humidity, spray runoff)"
Latur (Soybean Belt),2026-09-05T07:00,23.1,86.0,1.8,10.5,30.33,0.0,1.0,0.047,False,False,True,"Delta-T 1.8°C < 2.0°C (excess humidity, spray runoff)"
Latur (Soybean Belt),2026-09-05T08:00,25.3,75.0,3.38,14.1,30.23,0.0,1.0,0.896,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Latur (Soybean Belt),2026-09-05T09:00,26.4,70.0,4.16,14.9,30.13,11.0,1.0,0.892,True,True,True,Optimal stomatal aperture and atmospheric stability verified
Latur (Soybean Belt),2026-09-05T10:00,27.5,64.0,5.14,14.3,29.97,27.0,1.0,0.05,False,False,True,"Soil moisture 30.0% < 30% (xylem tension collapsed, stomata shut)"
Latur (Soybean Belt),2026-09-05T11:00,28.6,60.0,5.86,13.2,29.83,41.0,1.0,0.05,False,False,True,"Soil moisture 29.8% < 30% (xylem tension collapsed, stomata shut) | Rain probability 41.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-05T12:00,29.1,57.0,6.4,13.5,29.7,51.0,1.0,0.0,False,False,True,"Soil moisture 29.7% < 30% (xylem tension collapsed, stomata shut) | Rain probability 51.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-05T13:00,30.0,54.0,7.01,15.0,29.6,58.0,1.0,0.0,False,False,True,"Soil moisture 29.6% < 30% (xylem tension collapsed, stomata shut) | Rain probability 58.0% > 40% (chemical wash-off risk)"
Latur (Soybean Belt),2026-09-05T14:00,29.8,56.0,6.65,15.1,29.5,61.0,1.0,0.0,False,False,True,"Wind speed 15.1 km/h > 15 km/h limit (spray drift hazard) | Soil moisture 29.5% < 30% (xylem tension collapsed, stomata shut) | Rain probability 61.0% > 40% (chemical wash-off risk)"
