test_id,scenario,expected_class_id,expected_stress_name,predicted_class_id,predicted_stress_name,confidence_pct,is_correct_match,prob_optimal_pct,prob_heat_pct,prob_drought_pct,prob_compound_pct,prob_flooding_pct,prob_frost_pct,prob_salinity_pct,temp_max_forecast_7d,temp_night_min_7d,rh_avg_forecast_7d,vpd_kpa,soil_moisture_vol_pct,consecutive_hot_days,crop_gdd_accumulated
OPT_01,Optimal,0,Optimal Growth,0,Optimal Growth,99.97,True,99.97,0.0,0.01,0.0,0.01,0.0,0.0,30.19,22.72,75.97,1.03,44.07,0,1763.43
OPT_02,Optimal,0,Optimal Growth,0,Optimal Growth,99.98,True,99.98,0.0,0.01,0.0,0.0,0.0,0.0,30.09,18.7,84.65,0.65,40.86,0,856.2
OPT_03,Optimal,0,Optimal Growth,0,Optimal Growth,99.98,True,99.98,0.0,0.01,0.0,0.0,0.0,0.0,31.41,22.53,81.1,0.87,40.76,0,1131.88
OPT_04,Optimal,0,Optimal Growth,0,Optimal Growth,99.97,True,99.97,0.0,0.01,0.0,0.01,0.0,0.0,24.51,21.47,85.69,0.44,44.86,0,831.79
OPT_05,Optimal,0,Optimal Growth,0,Optimal Growth,99.99,True,99.99,0.0,0.0,0.0,0.0,0.0,0.0,31.77,22.28,87.33,0.59,37.53,0,365.71
OPT_06,Optimal,0,Optimal Growth,0,Optimal Growth,99.92,True,99.92,0.0,0.02,0.0,0.04,0.0,0.01,25.23,22.1,82.08,0.58,47.58,0,788.74
OPT_07,Optimal,0,Optimal Growth,0,Optimal Growth,99.99,True,99.99,0.0,0.01,0.0,0.0,0.0,0.0,26.96,19.04,76.74,0.83,36.69,1,640.36
OPT_08,Optimal,0,Optimal Growth,0,Optimal Growth,99.98,True,99.98,0.0,0.01,0.0,0.01,0.0,0.0,29.36,22.58,75.93,0.98,44.1,0,768.55
OPT_09,Optimal,0,Optimal Growth,0,Optimal Growth,99.99,True,99.99,0.0,0.01,0.0,0.0,0.0,0.0,30.66,20.13,85.12,0.66,38.75,0,509.63
OPT_10,Optimal,0,Optimal Growth,0,Optimal Growth,99.97,True,99.97,0.0,0.01,0.0,0.01,0.0,0.0,25.6,22.33,65.18,1.14,43.64,1,1357.75
OPT_11,Optimal,0,Optimal Growth,0,Optimal Growth,99.99,True,99.99,0.0,0.01,0.0,0.0,0.0,0.0,30.25,21.13,76.47,1.01,36.82,0,1302.6
OPT_12,Optimal,0,Optimal Growth,0,Optimal Growth,99.97,True,99.97,0.0,0.01,0.0,0.01,0.0,0.0,27.77,22.21,79.13,0.78,43.25,0,1130.37
OPT_13,Optimal,0,Optimal Growth,0,Optimal Growth,99.98,True,99.98,0.0,0.01,0.0,0.0,0.0,0.0,28.47,18.17,72.6,1.06,40.68,1,912.79
OPT_14,Optimal,0,Optimal Growth,0,Optimal Growth,99.99,True,99.99,0.0,0.01,0.0,0.0,0.0,0.0,30.83,18.32,70.85,1.3,38.66,0,740.39
OPT_15,Optimal,0,Optimal Growth,0,Optimal Growth,99.97,True,99.97,0.0,0.01,0.0,0.01,0.0,0.0,29.3,22.31,78.93,0.86,43.64,0,1521.03
OPT_16,Optimal,0,Optimal Growth,0,Optimal Growth,99.97,True,99.97,0.0,0.01,0.0,0.01,0.0,0.0,25.34,18.5,65.57,1.11,44.39,0,992.82
HEAT_01,Heat,1,Heat Stress,1,Heat Stress,98.69,True,0.76,98.69,0.09,0.24,0.12,0.04,0.06,39.29,23.07,57.53,3.02,42.53,4,871.53
HEAT_02,Heat,1,Heat Stress,1,Heat Stress,99.82,True,0.1,99.82,0.01,0.05,0.01,0.01,0.01,40.41,24.53,60.76,2.96,31.58,4,477.01
HEAT_03,Heat,1,Heat Stress,1,Heat Stress,99.98,True,0.01,99.98,0.0,0.01,0.0,0.0,0.0,45.7,26.9,67.71,3.21,34.79,5,1468.13
HEAT_04,Heat,1,Heat Stress,1,Heat Stress,98.62,True,0.77,98.62,0.1,0.32,0.06,0.05,0.09,43.74,23.91,56.23,3.93,31.74,6,1653.9
HEAT_05,Heat,1,Heat Stress,1,Heat Stress,98.44,True,0.98,98.44,0.11,0.29,0.06,0.05,0.08,41.65,24.14,50.06,4.02,40.43,4,1584.92
HEAT_06,Heat,1,Heat Stress,1,Heat Stress,99.82,True,0.13,99.82,0.01,0.03,0.01,0.0,0.01,44.07,25.02,62.99,3.38,41.29,2,1176.15
