sample_id,region,state_country,season,temp_max_forecast_7d,temp_night_min_7d,rh_avg_forecast_7d,vpd_kpa,soil_moisture_vol_pct,consecutive_hot_days,crop_gdd_accumulated,rainfall_3d_sum_mm,soil_clay_pct,soil_ec_ds_m,soil_ph,stress_class,stress_label
AASRA-TRN-000001,Latur,"Maharashtra, India",Kharif/Wet,34.91,26.83,61.86,2.09,20.59,0,2135.3,13.1,45.8,1.41,7.54,2,Drought Stress
AASRA-TRN-000002,Latur,"Maharashtra, India",Kharif/Wet,40.78,31.33,71.07,2.33,33.69,3,2504.2,36.11,48.8,1.26,7.55,1,Heat Stress
AASRA-TRN-000003,Latur,"Maharashtra, India",Kharif/Wet,34.19,28.54,88.4,0.54,53.51,0,2503.9,96.02,46.6,1.05,8.12,4,Flooding / Waterlogging
AASRA-TRN-000004,Latur,"Maharashtra, India",Rabi/Winter,25.1,12.81,66.69,1.13,28.78,0,199.8,2.36,48.2,1.15,7.72,0,Optimal
AASRA-TRN-000005,Latur,"Maharashtra, India",Kharif/Wet,20.53,14.28,71.51,0.68,11.57,0,647.8,2.35,49.2,3.63,7.89,6,Salinity Stress
AASRA-TRN-000006,Latur,"Maharashtra, India",Rabi/Winter,15.39,0.92,77.36,0.39,16.61,0,42.1,0.67,50.6,0.87,8.59,5,Frost / Cold Stress
AASRA-TRN-000007,Latur,"Maharashtra, India",Rabi/Winter,21.76,6.13,58.48,0.99,19.88,0,266.1,1.32,48.8,2.08,7.85,0,Optimal
AASRA-TRN-000008,Latur,"Maharashtra, India",Kharif/Wet,33.11,23.47,94.25,0.28,13.35,0,705.9,9.77,52.3,1.46,8.02,2,Drought Stress
AASRA-TRN-000009,Latur,"Maharashtra, India",Zaid/Summer,43.41,31.61,26.44,5.86,39.24,1,1864.5,0.56,43.3,1.2,7.97,3,Compound Stress (Heat+Drought)
AASRA-TRN-000010,Latur,"Maharashtra, India",Kharif/Wet,29.9,22.0,59.5,1.8,11.0,0,1892.9,2.29,57.4,1.71,8.48,6,Salinity Stress
AASRA-TRN-000011,Latur,"Maharashtra, India",Kharif/Wet,27.05,22.06,62.17,1.39,18.58,0,1222.7,10.14,49.7,0.94,8.07,0,Optimal
AASRA-TRN-000012,Latur,"Maharashtra, India",Rabi/Winter,19.49,8.16,90.93,0.13,30.7,0,77.9,8.77,49.8,0.82,7.63,0,Optimal
AASRA-TRN-000013,Latur,"Maharashtra, India",Rabi/Winter,24.67,11.6,60.18,1.29,30.38,0,897.8,2.19,40.1,0.95,7.66,0,Optimal
AASRA-TRN-000014,Latur,"Maharashtra, India",Kharif/Wet,30.85,22.04,62.02,1.71,20.78,0,594.4,2.19,52.2,3.8,7.62,6,Salinity Stress
AASRA-TRN-000015,Latur,"Maharashtra, India",Kharif/Wet,30.23,24.21,68.85,1.31,32.17,0,1885.3,4.86,49.1,6.15,7.43,6,Salinity Stress
AASRA-TRN-000016,Latur,"Maharashtra, India",Rabi/Winter,24.31,12.39,90.12,0.34,31.89,0,287.7,6.82,52.7,5.05,7.66,6,Salinity Stress
AASRA-TRN-000017,Latur,"Maharashtra, India",Kharif/Wet,32.83,25.13,70.6,1.55,38.73,0,1521.9,39.36,47.5,2.46,7.86,0,Optimal
AASRA-TRN-000018,Latur,"Maharashtra, India",Rabi/Winter,23.4,8.15,92.23,0.36,21.27,0,524.3,0.22,41.6,1.38,7.76,2,Drought Stress
AASRA-TRN-000019,Latur,"Maharashtra, India",Kharif/Wet,22.85,13.36,71.27,0.88,24.47,0,79.6,2.83,50.0,1.2,7.82,0,Optimal
AASRA-TRN-000020,Latur,"Maharashtra, India",Kharif/Wet,36.91,29.88,56.51,2.52,28.82,1,1704.6,10.52,44.1,1.17,7.56,0,Optimal
